date,sector,sector_etf,etf_return_1d,etf_return_5d,etf_rsi,etf_macd_diff,etf_volatility,fund_flow_norm,sector_pe_median
2024-01-17,Energy,XLE,-0.008301,-0.028169,27.553408,-0.226585,0.0115,-0.596408,
2024-01-18,Energy,XLE,-0.001624,-0.02011,28.109768,-0.239676,0.011248,0.084869,
2024-01-19,Energy,XLE,0.003254,-0.019447,32.980552,-0.226427,0.010814,0.600449,
2024-01-22,Energy,XLE,0.003742,-0.026729,35.283865,-0.195658,0.010807,0.499129,
2024-01-23,Energy,XLE,0.002112,-0.000867,30.876895,-0.158936,0.01076,0.353161,
2024-01-24,Energy,XLE,0.014261,0.021864,29.361297,-0.090946,0.011339,1.329091,
2024-01-25,Energy,XLE,0.022496,0.046552,45.471264,0.013771,0.01239,1.927549,
2024-01-26,Energy,XLE,0.007414,0.050892,48.109019,0.099764,0.012508,0.622823,
2024-01-29,Energy,XLE,-0.001424,0.045483,52.045636,0.147313,0.012027,-0.094028,
2024-01-30,Energy,XLE,0.010341,0.054067,63.14739,0.197334,0.012224,0.747265,
2024-01-31,Energy,XLE,-0.018706,0.019807,58.595239,0.172789,0.012722,-1.432715,
2024-02-01,Energy,XLE,-0.00012,-0.00275,57.721238,0.149313,0.012081,0.134156,
2024-02-02,Energy,XLE,0.001439,-0.008665,54.276967,0.131258,0.011489,0.193014,
2024-02-05,Energy,XLE,-0.002514,-0.009747,66.128922,0.10745,0.011491,-0.109674,
2024-02-06,Energy,XLE,0.003241,-0.016706,73.106868,0.095291,0.011232,0.224681,
2024-02-07,Energy,XLE,0.002034,0.004076,74.935101,0.087886,0.010585,0.066657,
2024-02-08,Energy,XLE,0.010269,0.014509,76.747009,0.104135,0.010467,0.797328,
2024-02-09,Energy,XLE,-0.015365,-0.002514,65.268651,0.069984,0.011152,-1.490227,
2024-02-12,Energy,XLE,0.011043,0.011043,67.86063,0.071793,0.011142,0.650246,
2024-02-13,Energy,XLE,-0.010092,-0.002393,58.153764,0.043327,0.009884,-1.257693,
2024-02-14,Energy,XLE,-0.000959,-0.005373,47.935045,0.020141,0.009627,-0.274939,
2024-02-15,Energy,XLE,0.027851,0.011937,57.069148,0.072695,0.011169,2.484732,
2024-02-16,Energy,XLE,-0.000584,0.027128,57.484425,0.099432,0.011206,-0.297345,
2024-02-20,Energy,XLE,-0.009115,0.006649,48.898268,0.086682,0.011545,-0.806714,
2024-02-21,Energy,XLE,0.018752,0.03598,65.582285,0.120024,0.012088,0.917145,
2024-02-22,Energy,XLE,0.001737,0.038775,66.184059,0.137478,0.011824,-0.084215,
2024-02-23,Energy,XLE,-0.006587,0.003971,62.055349,0.122366,0.011048,-0.570551,
2024-02-26,Energy,XLE,0.00349,0.008064,64.446698,0.113189,0.010971,0.106184,
