date,ticker,sector,open,high,low,close,volume,source
2023-09-12,AAPL,Technology,177.25,177.88,172.64,174.1,90370200,yfinance
2023-09-13,AAPL,Technology,174.3,175.08,171.81,172.03,84267900,yfinance
2023-09-14,AAPL,Technology,171.83,173.9,171.41,173.54,60895800,yfinance
2023-09-15,AAPL,Technology,174.28,174.29,171.65,172.82,109259500,yfinance
2023-09-18,AAPL,Technology,174.28,177.14,173.97,175.75,67257600,yfinance
2023-09-19,AAPL,Technology,175.3,177.39,174.92,176.83,51826900,yfinance
2023-09-20,AAPL,Technology,177.02,177.45,173.21,173.3,58436200,yfinance
2023-09-21,AAPL,Technology,172.37,174.1,171.69,171.76,63149100,yfinance
2023-09-22,AAPL,Technology,172.49,174.87,171.88,172.61,56725400,yfinance
2023-09-25,AAPL,Technology,172.02,174.76,171.97,173.88,46172700,yfinance
2023-09-26,AAPL,Technology,172.64,173.01,169.52,169.81,64588900,yfinance
2023-09-27,AAPL,Technology,170.46,170.88,166.94,168.3,66921800,yfinance
2023-09-28,AAPL,Technology,167.22,169.88,165.53,168.56,56294400,yfinance
2023-09-29,AAPL,Technology,169.87,170.91,168.21,169.07,51861100,yfinance
2023-10-02,AAPL,Technology,169.08,172.12,168.79,171.58,52164500,yfinance
2023-10-03,AAPL,Technology,170.11,171.46,168.69,170.25,49594600,yfinance
2023-10-04,AAPL,Technology,168.95,172.03,168.83,171.49,53020300,yfinance
2023-10-05,AAPL,Technology,171.62,173.26,170.52,172.72,48527900,yfinance
2023-10-06,AAPL,Technology,171.63,175.77,171.02,175.27,57266700,yfinance
2023-10-09,AAPL,Technology,174.6,176.81,173.6,176.75,42390800,yfinance
2023-10-10,AAPL,Technology,175.87,177.47,175.73,176.16,43698000,yfinance
2023-10-11,AAPL,Technology,175.97,177.6,175.38,177.55,47551100,yfinance
2023-10-12,AAPL,Technology,177.82,180.06,176.8,178.45,56743100,yfinance
2023-10-13,AAPL,Technology,179.15,179.66,175.91,176.62,51427100,yfinance
2023-10-16,AAPL,Technology,174.54,176.84,174.3,176.49,52517000,yfinance
2023-10-17,AAPL,Technology,174.44,176.19,172.62,174.94,57549400,yfinance
2023-10-18,AAPL,Technology,173.39,175.36,172.92,173.64,54764400,yfinance
2023-10-19,AAPL,Technology,173.84,175.62,173.0,173.27,59302900,yfinance
2023-10-20,AAPL,Technology,173.12,173.23,170.48,170.72,64244000,yfinance
2023-10-23,AAPL,Technology,168.77,171.84,167.81,170.84,55980100,yfinance
2023-10-24,AAPL,Technology,170.89,171.5,169.31,171.27,43816600,yfinance
2023-10-25,AAPL,Technology,169.73,170.9,168.52,168.96,57157000,yfinance
2023-10-26,AAPL,Technology,168.24,169.24,163.6,164.8,70625300,yfinance
2023-10-27,AAPL,Technology,164.82,166.85,164.75,166.12,58499100,yfinance
2023-10-30,AAPL,Technology,166.91,169.03,166.76,168.16,51131000,yfinance
2023-10-31,AAPL,Technology,167.23,168.76,165.8,168.64,44846000,yfinance
2023-11-01,AAPL,Technology,168.86,172.05,167.99,171.8,56934900,yfinance
2023-11-02,AAPL,Technology,173.33,175.56,173.27,175.35,77334800,yfinance
2023-11-03,AAPL,Technology,172.06,174.61,171.18,174.44,79829200,yfinance
2023-11-06,AAPL,Technology,174.18,177.19,174.01,176.99,63841300,yfinance
2023-11-07,AAPL,Technology,176.94,180.16,176.73,179.55,70530000,yfinance
2023-11-08,AAPL,Technology,180.07,181.16,179.32,180.61,49340300,yfinance
2023-11-09,AAPL,Technology,180.67,181.82,179.54,180.13,53763500,yfinance
2023-11-10,AAPL,Technology,181.91,184.48,181.48,184.31,66133400,yfinance
2023-11-13,AAPL,Technology,183.74,183.95,182.15,182.73,43627500,yfinance
2023-11-14,AAPL,Technology,185.6,186.0,184.21,185.34,60108400,yfinance
2023-11-15,AAPL,Technology,185.75,187.38,185.68,185.91,53790500,yfinance
2023-11-16,AAPL,Technology,187.45,188.82,186.54,187.59,54412900,yfinance
2023-11-17,AAPL,Technology,188.12,188.25,186.46,187.57,50922700,yfinance
2023-11-20,AAPL,Technology,187.76,189.76,187.75,189.31,46505100,yfinance
2023-11-21,AAPL,Technology,189.27,189.38,187.62,188.51,38134500,yfinance
2023-11-22,AAPL,Technology,189.35,190.77,188.69,189.17,39617700,yfinance
2023-11-24,AAPL,Technology,188.73,188.76,187.13,187.84,24048300,yfinance
2023-11-27,AAPL,Technology,187.79,188.54,186.79,187.67,40552600,yfinance
2023-11-28,AAPL,Technology,187.66,188.94,187.28,188.27,38415400,yfinance
2023-11-29,AAPL,Technology,188.76,189.94,186.85,187.25,43014200,yfinance
2023-11-30,AAPL,Technology,187.72,188.19,186.08,187.82,48794400,yfinance
2023-12-01,AAPL,Technology,188.2,189.42,187.11,189.1,45704800,yfinance
2023-12-04,AAPL,Technology,187.85,187.92,185.35,187.31,43389500,yfinance
2023-12-05,AAPL,Technology,188.08,192.22,188.05,191.26,66628400,yfinance
2023-12-06,AAPL,Technology,192.27,192.58,189.96,190.17,41089700,yfinance
2023-12-07,AAPL,Technology,191.46,192.82,191.42,192.1,47477700,yfinance
2023-12-08,AAPL,Technology,192.03,193.8,191.5,193.52,53406400,yfinance
2023-12-11,AAPL,Technology,190.95,191.32,189.28,191.02,60943700,yfinance
2023-12-12,AAPL,Technology,190.92,192.54,189.57,192.53,52696900,yfinance
2023-12-13,AAPL,Technology,192.91,195.78,192.67,195.74,70404200,yfinance
2023-12-14,AAPL,Technology,195.8,197.39,193.96,195.89,66831600,yfinance
2023-12-15,AAPL,Technology,195.32,196.18,194.8,195.36,128538400,yfinance
2023-12-18,AAPL,Technology,193.9,194.43,192.21,193.7,55751900,yfinance
2023-12-19,AAPL,Technology,193.96,194.75,193.7,194.74,40714100,yfinance
2023-12-20,AAPL,Technology,194.7,195.47,192.65,192.65,52242800,yfinance
2023-12-21,AAPL,Technology,193.91,194.87,191.33,192.5,46482500,yfinance
2023-12-22,AAPL,Technology,193.0,193.22,190.81,191.43,37149600,yfinance
2023-12-26,AAPL,Technology,191.44,191.72,190.67,190.89,28919300,yfinance
2023-12-27,AAPL,Technology,190.34,191.33,188.95,190.99,48087700,yfinance
2023-12-28,AAPL,Technology,191.97,192.48,191.01,191.41,34049900,yfinance
2023-12-29,AAPL,Technology,191.73,192.22,189.58,190.38,42672100,yfinance
2024-01-02,AAPL,Technology,185.06,186.33,181.83,183.56,82488700,yfinance
2024-01-03,AAPL,Technology,182.16,183.8,181.38,182.19,58414500,yfinance
2024-01-04,AAPL,Technology,180.11,181.04,178.86,179.87,71983600,yfinance
2024-01-05,AAPL,Technology,179.95,180.71,178.15,179.15,62379700,yfinance
2024-01-08,AAPL,Technology,180.05,183.52,179.47,183.48,59144500,yfinance
2024-01-09,AAPL,Technology,181.86,183.08,180.68,183.07,42841800,yfinance
2024-01-10,AAPL,Technology,182.29,184.31,181.86,184.11,46792900,yfinance
2024-01-11,AAPL,Technology,184.45,184.96,181.56,183.51,49128400,yfinance
2024-01-12,AAPL,Technology,183.98,184.65,183.12,183.84,40477800,yfinance
2024-01-16,AAPL,Technology,180.12,182.2,178.9,181.57,65603000,yfinance
2024-01-17,AAPL,Technology,179.24,180.88,178.28,180.64,47317400,yfinance
2024-01-18,AAPL,Technology,184.01,187.02,183.75,186.52,78005800,yfinance
2024-01-19,AAPL,Technology,187.21,189.8,186.71,189.42,68903000,yfinance
2024-01-22,AAPL,Technology,190.15,193.14,190.11,191.72,60133900,yfinance
2024-01-23,AAPL,Technology,192.84,193.56,191.66,193.0,42355600,yfinance
2024-01-24,AAPL,Technology,193.23,194.18,192.16,192.32,53631300,yfinance
2024-01-25,AAPL,Technology,193.03,194.07,190.95,192.0,54822100,yfinance
2024-01-26,AAPL,Technology,192.1,192.58,189.79,190.27,44594000,yfinance
2024-01-29,AAPL,Technology,189.86,190.05,187.46,189.58,47145600,yfinance
2024-01-30,AAPL,Technology,188.8,189.65,185.37,185.94,55859400,yfinance
2024-01-31,AAPL,Technology,184.95,185.01,182.29,182.34,55467800,yfinance
2024-02-01,AAPL,Technology,181.93,184.86,181.76,184.77,64885400,yfinance
2024-02-02,AAPL,Technology,177.85,185.23,177.24,183.77,102551700,yfinance
2024-02-05,AAPL,Technology,186.04,187.13,183.76,185.58,69668800,yfinance
2024-02-06,AAPL,Technology,184.77,187.19,184.68,187.18,43490800,yfinance
2024-02-07,AAPL,Technology,188.51,188.91,186.5,187.29,53439000,yfinance
2024-02-08,AAPL,Technology,187.27,187.42,185.25,186.21,40962000,yfinance
2024-02-09,AAPL,Technology,186.78,188.1,186.13,186.97,45155200,yfinance
2024-02-12,AAPL,Technology,186.55,186.8,184.93,185.29,41781900,yfinance
2024-02-13,AAPL,Technology,183.93,184.36,181.69,183.2,56529500,yfinance
2024-02-14,AAPL,Technology,183.48,183.69,180.63,182.32,54630500,yfinance
2024-02-15,AAPL,Technology,181.73,182.66,179.55,182.03,65434500,yfinance
2024-02-16,AAPL,Technology,181.6,183.01,179.87,180.5,49752500,yfinance
2024-02-20,AAPL,Technology,179.98,180.62,178.21,179.76,53665600,yfinance
2024-02-21,AAPL,Technology,180.13,181.07,178.87,180.51,41371400,yfinance
2024-02-22,AAPL,Technology,181.66,183.12,180.65,182.54,52292200,yfinance
2024-02-23,AAPL,Technology,183.17,183.2,180.42,180.71,45119700,yfinance
2024-02-26,AAPL,Technology,180.43,180.95,178.86,179.36,40867400,yfinance
2024-02-27,AAPL,Technology,179.3,182.09,177.78,180.82,54318900,yfinance
2024-02-28,AAPL,Technology,180.7,181.3,178.34,179.62,48953900,yfinance
2024-02-29,AAPL,Technology,179.47,180.76,177.75,178.95,136682600,yfinance
2024-03-01,AAPL,Technology,177.77,178.74,175.62,177.88,73563100,yfinance
2024-03-04,AAPL,Technology,174.4,175.14,172.06,173.36,81510100,yfinance
2024-03-05,AAPL,Technology,169.06,170.33,167.94,168.43,95132400,yfinance
2024-03-06,AAPL,Technology,169.36,169.54,167.0,167.44,68587700,yfinance
2024-03-07,AAPL,Technology,167.47,169.03,166.82,167.32,71765100,yfinance
2024-03-08,AAPL,Technology,167.32,171.97,167.26,169.03,76267000,yfinance
2024-03-11,AAPL,Technology,171.22,172.65,170.34,171.03,60139500,yfinance
2024-03-12,AAPL,Technology,171.43,172.3,169.31,171.51,59825400,yfinance
2024-03-13,AAPL,Technology,171.05,171.47,169.06,169.43,52488700,yfinance
2024-03-14,AAPL,Technology,171.19,172.58,170.34,171.28,72913500,yfinance
2024-03-15,AAPL,Technology,169.47,170.91,168.6,170.91,121752700,yfinance
2024-03-18,AAPL,Technology,173.83,175.95,171.8,171.99,75604200,yfinance
2024-03-19,AAPL,Technology,172.61,174.86,171.31,174.33,55215200,yfinance
2024-03-20,AAPL,Technology,173.97,176.9,173.35,176.9,53423100,yfinance
2024-03-21,AAPL,Technology,175.29,175.73,169.14,169.67,106181300,yfinance
2024-03-22,AAPL,Technology,170.05,171.33,168.37,170.57,71160100,yfinance
2024-03-25,AAPL,Technology,168.88,170.23,167.77,169.15,54288300,yfinance
2024-03-26,AAPL,Technology,168.31,169.72,167.9,168.02,57388400,yfinance
